Round,Indicator,Group,Subgroup,Sample Size,Response,Percent,Standard Error,Suppression,Significant
2,Reduced access to urgent care,Urbanization,Non-Metropolitan,,Due to pandemic,1.3,0.8,,0
2,Reduced access to urgent care,Chronic conditions,One or more chronic conditions,3598,Total,,,,
2,Reduced access to urgent care,Chronic conditions,One or more chronic conditions,,For any reason,3.4,0.5,,0
2,Reduced access to urgent care,Chronic conditions,One or more chronic conditions,,Due to pandemic,1.4,0.3,,0
2,Reduced access to urgent care,Chronic conditions,Diagnosed diabetes,678,Total,,,,
2,Reduced access to urgent care,Chronic conditions,Diagnosed diabetes,,For any reason,,,*,
2,Reduced access to urgent care,Chronic conditions,Diagnosed diabetes,,Due to pandemic,1.9,0.8,,0
2,Reduced access to urgent care,Chronic conditions,Diagnosed hypertension,2153,Total,,,,
2,Reduced access to urgent care,Chronic conditions,Diagnosed hypertension,,For any reason,3.4,0.7,,0
2,Reduced access to urgent care,Chronic conditions,Diagnosed hypertension,,Due to pandemic,1,0.3,,0
2,Reduced access to urgent care,Chronic conditions,Current asthma,615,Total,,,,
2,Reduced access to urgent care,Chronic conditions,Current asthma,,For any reason,6,1.2,,0
2,Reduced access to urgent care,Chronic conditions,Current asthma,,Due to pandemic,2.7,0.8,,
1,Reduced access to surgical procedure,Total,Total,6679,Total,,,,
1,Reduced access to surgical procedure,Total,Total,,For any reason,5.4,0.5,,
1,Reduced access to surgical procedure,Total,Total,,Due to pandemic,4,0.3,,
1,Reduced access to surgical procedure,Age group,18-44 years,2586,Total,,,,
1,Reduced access to surgical procedure,Age group,18-44 years,,For any reason,4.9,0.7,,
1,Reduced access to surgical procedure,Age group,18-44 years,,Due to pandemic,3.5,0.6,,
1,Reduced access to surgical procedure,Age group,45-64 years,2325,Total,,,,
1,Reduced access to surgical procedure,Age group,45-64 years,,For any reason,5.4,0.8,,
1,Reduced access to surgical procedure,Age group,45-64 years,,Due to pandemic,4.5,0.7,,
1,Reduced access to surgical procedure,Age group,65 years and over,1768,Total,,,,
1,Reduced access to surgical procedure,Age group,65 years and over,,For any reason,6.4,0.6,,
1,Reduced access to surgical procedure,Age group,65 years and over,,Due to pandemic,4.6,0.6,,
1,Reduced access to surgical procedure,Race/Hispanic origin,White non-Hispanic,4432,Total,,,,
1,Reduced access to surgical procedure,Race/Hispanic origin,White non-Hispanic,,For any reason,4.8,0.5,,
1,Reduced access to surgical procedure,Race/Hispanic origin,White non-Hispanic,,Due to pandemic,3.8,0.4,,
1,Reduced access to surgical procedure,Race/Hispanic origin,Black non-Hispanic,800,Total,,,,
1,Reduced access to surgical procedure,Race/Hispanic origin,Black non-Hispanic,,For any reason,5.6,0.9,,
1,Reduced access to surgical procedure,Race/Hispanic origin,Black non-Hispanic,,Due to pandemic,3.3,0.7,,
1,Reduced access to surgical procedure,Race/Hispanic origin,Other non-Hispanic,519,Total,,,,
1,Reduced access to surgical procedure,Race/Hispanic origin,Other non-Hispanic,,For any reason,3.6,0.9,,
1,Reduced access to surgical procedure,Race/Hispanic origin,Other non-Hispanic,,Due to pandemic,2.8,0.8,,
1,Reduced access to surgical procedure,Race/Hispanic origin,Hispanic,928,Total,,,,
1,Reduced access to surgical procedure,Race/Hispanic origin,Hispanic,,For any reason,8.3,1.7,,
1,Reduced access to surgical procedure,Race/Hispanic origin,Hispanic,,Due to pandemic,6.2,1.4,,
1,Reduced access to surgical procedure,Sex,Male,2921,Total,,,,
1,Reduced access to surgical procedure,Sex,Male,,For any reason,5.1,0.6,,
1,Reduced access to surgical procedure,Sex,Male,,Due to pandemic,3.4,0.5,,
1,Reduced access to surgical procedure,Sex,Female,3758,Total,,,,
1,Reduced access to surgical procedure,Sex,Female,,For any reason,5.7,0.5,,
1,Reduced access to surgical procedure,Sex,Female,,Due to pandemic,4.6,0.5,,
1,Reduced access to surgical procedure,Education,High school graduate or less,1273,Total,,,,
1,Reduced access to surgical procedure,Education,High school graduate or less,,For any reason,6.5,1.1,,
1,Reduced access to surgical procedure,Education,High school graduate or less,,Due to pandemic,4.8,0.8,,
1,Reduced access to surgical procedure,Education,Some college,2512,Total,,,,
1,Reduced access to surgical procedure,Education,Some college,,For any reason,5.5,0.5,,
1,Reduced access to surgical procedure,Education,Some college,,Due to pandemic,4.1,0.4,,
1,Reduced access to surgical procedure,Education,Bachelor's degree or above,2894,Total,,,,
1,Reduced access to surgical procedure,Education,Bachelor's degree or above,,For any reason,4.1,0.4,,
1,Reduced access to surgical procedure,Education,Bachelor's degree or above,,Due to pandemic,3.2,0.3,,
1,Reduced access to surgical procedure,Urbanization,Metropolitan,5955,Total,,,,
1,Reduced access to surgical procedure,Urbanization,Metropolitan,,For any reason,5.2,0.4,,
1,Reduced access to surgical procedure,Urbanization,Metropolitan,,Due to pandemic,3.9,0.3,,
1,Reduced access to surgical procedure,Urbanization,Non-Metropolitan,724,Total,,,,
1,Reduced access to surgical procedure,Urbanization,Non-Metropolitan,,For any reason,7.3,1.8,,
1,Reduced access to surgical procedure,Urbanization,Non-Metropolitan,,Due to pandemic,5.4,1.3,,
1,Reduced access to surgical procedure,Chronic conditions,One or more chronic conditions,4000,Total,,,,
1,Reduced access to surgical procedure,Chronic conditions,One or more chronic conditions,,For any reason,7.1,0.7,,
1,Reduced access to surgical procedure,Chronic conditions,One or more chronic conditions,,Due to pandemic,5.2,0.5,,
1,Reduced access to surgical procedure,Chronic conditions,Diagnosed diabetes,758,Total,,,,
1,Reduced access to surgical procedure,Chronic conditions,Diagnosed diabetes,,For any reason,9.5,2,,
1,Reduced access to surgical procedure,Chronic conditions,Diagnosed diabetes,,Due to pandemic,6,1.2,,
1,Reduced access to surgical procedure,Chronic conditions,Diagnosed hypertension,2371,Total,,,,
1,Reduced access to surgical procedure,Chronic conditions,Diagnosed hypertension,,For any reason,7.3,0.8,,
1,Reduced access to surgical procedure,Chronic conditions,Diagnosed hypertension,,Due to pandemic,5.4,0.6,,
1,Reduced access to surgical procedure,Chronic conditions,Current asthma,685,Total,,,,
1,Reduced access to surgical procedure,Chronic conditions,Current asthma,,For any reason,8.8,2.1,,
1,Reduced access to surgical procedure,Chronic conditions,Current asthma,,Due to pandemic,6.3,1.8,,
2,Reduced access to surgical procedure,Total,Total,5902,Total,,,,
2,Reduced access to surgical procedure,Total,Total,,For any reason,4.3,0.4,,1
2,Reduced access to surgical procedure,Total,Total,,Due to pandemic,2.7,0.3,,1
2,Reduced access to surgical procedure,Age group,18-44 years,2203,Total,,,,
2,Reduced access to surgical procedure,Age group,18-44 years,,For any reason,4.6,0.8,,0
2,Reduced access to surgical procedure,Age group,18-44 years,,Due to pandemic,2.7,0.6,,0
2,Reduced access to surgical procedure,Age group,45-64 years,2052,Total,,,,
2,Reduced access to surgical procedure,Age group,45-64 years,,For any reason,4,0.6,,0
2,Reduced access to surgical procedure,Age group,45-64 years,,Due to pandemic,2.7,0.5,,1
2,Reduced access to surgical procedure,Age group,65 years and over,1647,Total,,,,
2,Reduced access to surgical procedure,Age group,65 years and over,,For any reason,4.1,0.5,,1
2,Reduced access to surgical procedure,Age group,65 years and over,,Due to pandemic,2.7,0.4,,1
2,Reduced access to surgical procedure,Race/Hispanic origin,White non-Hispanic,4027,Total,,,,
2,Reduced access to surgical procedure,Race/Hispanic origin,White non-Hispanic,,For any reason,3.8,0.5,,0
2,Reduced access to surgical procedure,Race/Hispanic origin,White non-Hispanic,,Due to pandemic,2.4,0.4,,1
2,Reduced access to surgical procedure,Race/Hispanic origin,Black non-Hispanic,678,Total,,,,
2,Reduced access to surgical procedure,Race/Hispanic origin,Black non-Hispanic,,For any reason,5,1,,0
2,Reduced access to surgical procedure,Race/Hispanic origin,Black non-Hispanic,,Due to pandemic,2.6,0.6,,0
2,Reduced access to surgical procedure,Race/Hispanic origin,Other non-Hispanic,455,Total,,,,
2,Reduced access to surgical procedure,Race/Hispanic origin,Other non-Hispanic,,For any reason,,,*,
2,Reduced access to surgical procedure,Race/Hispanic origin,Other non-Hispanic,,Due to pandemic,,,*,
2,Reduced access to surgical procedure,Race/Hispanic origin,Hispanic,742,Total,,,,
2,Reduced access to surgical procedure,Race/Hispanic origin,Hispanic,,For any reason,5.7,1.3,,0
2,Reduced access to surgical procedure,Race/Hispanic origin,Hispanic,,Due to pandemic,4,1.1,,0
2,Reduced access to surgical procedure,Sex,Male,2557,Total,,,,
2,Reduced access to surgical procedure,Sex,Male,,For any reason,3.9,0.6,,0
2,Reduced access to surgical procedure,Sex,Male,,Due to pandemic,2.7,0.5,,0
2,Reduced access to surgical procedure,Sex,Female,3345,Total,,,,
2,Reduced access to surgical procedure,Sex,Female,,For any reason,4.7,0.6,,0
2,Reduced access to surgical procedure,Sex,Female,,Due to pandemic,2.8,0.4,,1
2,Reduced access to surgical procedure,Education,High school graduate or less,1094,Total,,,,
2,Reduced access to surgical procedure,Education,High school graduate or less,,For any reason,5.5,1,,0
2,Reduced access to surgical procedure,Education,High school graduate or less,,Due to pandemic,2.8,0.8,,0
2,Reduced access to surgical procedure,Education,Some college,2195,Total,,,,
2,Reduced access to surgical procedure,Education,Some college,,For any reason,4.3,0.5,,1
2,Reduced access to surgical procedure,Education,Some college,,Due to pandemic,3.4,0.5,,0
2,Reduced access to surgical procedure,Education,Bachelor's degree or above,2613,Total,,,,
2,Reduced access to surgical procedure,Education,Bachelor's degree or above,,For any reason,3,0.4,,1
2,Reduced access to surgical procedure,Education,Bachelor's degree or above,,Due to pandemic,2.1,0.3,,1
2,Reduced access to surgical procedure,Urbanization,Metropolitan,5253,Total,,,,
2,Reduced access to surgical procedure,Urbanization,Metropolitan,,For any reason,4.1,0.4,,0
2,Reduced access to surgical procedure,Urbanization,Metropolitan,,Due to pandemic,2.8,0.3,,1
2,Reduced access to surgical procedure,Urbanization,Non-Metropolitan,649,Total,,,,
2,Reduced access to surgical procedure,Urbanization,Non-Metropolitan,,For any reason,5.4,1.6,,0
2,Reduced access to surgical procedure,Urbanization,Non-Metropolitan,,Due to pandemic,2.1,0.7,,1
2,Reduced access to surgical procedure,Chronic conditions,One or more chronic conditions,3598,Total,,,,
2,Reduced access to surgical procedure,Chronic conditions,One or more chronic conditions,,For any reason,5.1,0.5,,1
2,Reduced access to surgical procedure,Chronic conditions,One or more chronic conditions,,Due to pandemic,3.5,0.4,,1
2,Reduced access to surgical procedure,Chronic conditions,Diagnosed diabetes,682,Total,,,,
2,Reduced access to surgical procedure,Chronic conditions,Diagnosed diabetes,,For any reason,8.3,1.7,,0
2,Reduced access to surgical procedure,Chronic conditions,Diagnosed diabetes,,Due to pandemic,4.8,1.1,,0
2,Reduced access to surgical procedure,Chronic conditions,Diagnosed hypertension,2159,Total,,,,
2,Reduced access to surgical procedure,Chronic conditions,Diagnosed hypertension,,For any reason,4.7,0.7,,1
2,Reduced access to surgical procedure,Chronic conditions,Diagnosed hypertension,,Due to pandemic,3.2,0.5,,1
2,Reduced access to surgical procedure,Chronic conditions,Current asthma,618,Total,,,,
2,Reduced access to surgical procedure,Chronic conditions,Current asthma,,For any reason,8.1,1.6,,0
2,Reduced access to surgical procedure,Chronic conditions,Current asthma,,Due to pandemic,4.3,1.1,,0
1,Reduced access to diagnostic or medical screening test,Total,Total,6716,Total,,,,
1,Reduced access to diagnostic or medical screening test,Total,Total,,For any reason,9.6,0.5,,
1,Reduced access to diagnostic or medical screening test,Total,Total,,Due to pandemic,6.4,0.4,,
1,Reduced access to diagnostic or medical screening test,Age group,18-44 years,2593,Total,,,,
1,Reduced access to diagnostic or medical screening test,Age group,18-44 years,,For any reason,7.9,0.6,,
1,Reduced access to diagnostic or medical screening test,Age group,18-44 years,,Due to pandemic,4.9,0.5,,
1,Reduced access to diagnostic or medical screening test,Age group,45-64 years,2347,Total,,,,
1,Reduced access to diagnostic or medical screening test,Age group,45-64 years,,For any reason,11,0.7,,
1,Reduced access to diagnostic or medical screening test,Age group,45-64 years,,Due to pandemic,7.2,0.6,,
1,Reduced access to diagnostic or medical screening test,Age group,65 years and over,1776,Total,,,,
1,Reduced access to diagnostic or medical screening test,Age group,65 years and over,,For any reason,11,1,,
1,Reduced access to diagnostic or medical screening test,Age group,65 years and over,,Due to pandemic,8.5,0.8,,
1,Reduced access to diagnostic or medical screening test,Race/Hispanic origin,White non-Hispanic,4456,Total,,,,
1,Reduced access to diagnostic or medical screening test,Race/Hispanic origin,White non-Hispanic,,For any reason,8.9,0.6,,
1,Reduced access to diagnostic or medical screening test,Race/Hispanic origin,White non-Hispanic,,Due to pandemic,6.1,0.5,,
1,Reduced access to diagnostic or medical screening test,Race/Hispanic origin,Black non-Hispanic,803,Total,,,,
1,Reduced access to diagnostic or medical screening test,Race/Hispanic origin,Black non-Hispanic,,For any reason,10.9,1.3,,
1,Reduced access to diagnostic or medical screening test,Race/Hispanic origin,Black non-Hispanic,,Due to pandemic,5.3,0.9,,
1,Reduced access to diagnostic or medical screening test,Race/Hispanic origin,Other non-Hispanic,524,Total,,,,
1,Reduced access to diagnostic or medical screening test,Race/Hispanic origin,Other non-Hispanic,,For any reason,12.2,1.8,,
1,Reduced access to diagnostic or medical screening test,Race/Hispanic origin,Other non-Hispanic,,Due to pandemic,8.9,1.3,,
1,Reduced access to diagnostic or medical screening test,Race/Hispanic origin,Hispanic,933,Total,,,,
1,Reduced access to diagnostic or medical screening test,Race/Hispanic origin,Hispanic,,For any reason,10.2,1.4,,
1,Reduced access to diagnostic or medical screening test,Race/Hispanic origin,Hispanic,,Due to pandemic,7.4,1.2,,
1,Reduced access to diagnostic or medical screening test,Sex,Male,2941,Total,,,,
1,Reduced access to diagnostic or medical screening test,Sex,Male,,For any reason,7.7,0.5,,
1,Reduced access to diagnostic or medical screening test,Sex,Male,,Due to pandemic,4.5,0.4,,
1,Reduced access to diagnostic or medical screening test,Sex,Female,3775,Total,,,,
1,Reduced access to diagnostic or medical screening test,Sex,Female,,For any reason,11.3,0.8,,
1,Reduced access to diagnostic or medical screening test,Sex,Female,,Due to pandemic,8.2,0.6,,
1,Reduced access to diagnostic or medical screening test,Education,High school graduate or less,1282,Total,,,,
1,Reduced access to diagnostic or medical screening test,Education,High school graduate or less,,For any reason,8.1,0.9,,
1,Reduced access to diagnostic or medical screening test,Education,High school graduate or less,,Due to pandemic,4.7,0.7,,
1,Reduced access to diagnostic or medical screening test,Education,Some college,2521,Total,,,,
1,Reduced access to diagnostic or medical screening test,Education,Some college,,For any reason,9.9,0.7,,
1,Reduced access to diagnostic or medical screening test,Education,Some college,,Due to pandemic,6.5,0.5,,
1,Reduced access to diagnostic or medical screening test,Education,Bachelor's degree or above,2913,Total,,,,
1,Reduced access to diagnostic or medical screening test,Education,Bachelor's degree or above,,For any reason,10.9,0.7,,
1,Reduced access to diagnostic or medical screening test,Education,Bachelor's degree or above,,Due to pandemic,8.2,0.6,,
1,Reduced access to diagnostic or medical screening test,Urbanization,Metropolitan,5990,Total,,,,
1,Reduced access to diagnostic or medical screening test,Urbanization,Metropolitan,,For any reason,9.8,0.5,,
1,Reduced access to diagnostic or medical screening test,Urbanization,Metropolitan,,Due to pandemic,6.5,0.4,,
1,Reduced access to diagnostic or medical screening test,Urbanization,Non-Metropolitan,726,Total,,,,
1,Reduced access to diagnostic or medical screening test,Urbanization,Non-Metropolitan,,For any reason,7.6,1.5,,
1,Reduced access to diagnostic or medical screening test,Urbanization,Non-Metropolitan,,Due to pandemic,5.5,1.5,,
1,Reduced access to diagnostic or medical screening test,Chronic conditions,One or more chronic conditions,4030,Total,,,,
1,Reduced access to diagnostic or medical screening test,Chronic conditions,One or more chronic conditions,,For any reason,12.3,0.6,,
1,Reduced access to diagnostic or medical screening test,Chronic conditions,One or more chronic conditions,,Due to pandemic,8.2,0.5,,
1,Reduced access to diagnostic or medical screening test,Chronic conditions,Diagnosed diabetes,760,Total,,,,
1,Reduced access to diagnostic or medical screening test,Chronic conditions,Diagnosed diabetes,,For any reason,16.3,1.3,,
1,Reduced access to diagnostic or medical screening test,Chronic conditions,Diagnosed diabetes,,Due to pandemic,9.4,1,,
1,Reduced access to diagnostic or medical screening test,Chronic conditions,Diagnosed hypertension,2390,Total,,,,
1,Reduced access to diagnostic or medical screening test,Chronic conditions,Diagnosed hypertension,,For any reason,12.9,0.8,,
1,Reduced access to diagnostic or medical screening test,Chronic conditions,Diagnosed hypertension,,Due to pandemic,8.6,0.7,,
1,Reduced access to diagnostic or medical screening test,Chronic conditions,Current asthma,691,Total,,,,
1,Reduced access to diagnostic or medical screening test,Chronic conditions,Current asthma,,For any reason,15.1,1.5,,
1,Reduced access to diagnostic or medical screening test,Chronic conditions,Current asthma,,Due to pandemic,9.8,1.3,,
2,Reduced access to diagnostic or medical screening test,Total,Total,5927,Total,,,,
2,Reduced access to diagnostic or medical screening test,Total,Total,,For any reason,8.4,0.6,,0
2,Reduced access to diagnostic or medical screening test,Total,Total,,Due to pandemic,4.5,0.4,,1
2,Reduced access to diagnostic or medical screening test,Age group,18-44 years,2202,Total,,,,
2,Reduced access to diagnostic or medical screening test,Age group,18-44 years,,For any reason,8.1,0.9,,0
2,Reduced access to diagnostic or medical screening test,Age group,18-44 years,,Due to pandemic,3.6,0.5,,1
2,Reduced access to diagnostic or medical screening test,Age group,45-64 years,2064,Total,,,,
2,Reduced access to diagnostic or medical screening test,Age group,45-64 years,,For any reason,8.7,0.8,,1
2,Reduced access to diagnostic or medical screening test,Age group,45-64 years,,Due to pandemic,5.7,0.7,,0
2,Reduced access to diagnostic or medical screening test,Age group,65 years and over,1661,Total,,,,
2,Reduced access to diagnostic or medical screening test,Age group,65 years and over,,For any reason,8.3,0.9,,1
2,Reduced access to diagnostic or medical screening test,Age group,65 years and over,,Due to pandemic,4.6,0.7,,1
2,Reduced access to diagnostic or medical screening test,Race/Hispanic origin,White non-Hispanic,4042,Total,,,,
2,Reduced access to diagnostic or medical screening test,Race/Hispanic origin,White non-Hispanic,,For any reason,7.2,0.5,,1
2,Reduced access to diagnostic or medical screening test,Race/Hispanic origin,White non-Hispanic,,Due to pandemic,4.1,0.5,,1
2,Reduced access to diagnostic or medical screening test,Race/Hispanic origin,Black non-Hispanic,684,Total,,,,
2,Reduced access to diagnostic or medical screening test,Race/Hispanic origin,Black non-Hispanic,,For any reason,11.7,1.3,,0
2,Reduced access to diagnostic or medical screening test,Race/Hispanic origin,Black non-Hispanic,,Due to pandemic,5.1,0.7,,0
2,Reduced access to diagnostic or medical screening test,Race/Hispanic origin,Other non-Hispanic,458,Total,,,,
2,Reduced access to diagnostic or medical screening test,Race/Hispanic origin,Other non-Hispanic,,For any reason,9.4,1.5,,0
2,Reduced access to diagnostic or medical screening test,Race/Hispanic origin,Other non-Hispanic,,Due to pandemic,6,1.7,,0
2,Reduced access to diagnostic or medical screening test,Race/Hispanic origin,Hispanic,743,Total,,,,
2,Reduced access to diagnostic or medical screening test,Race/Hispanic origin,Hispanic,,For any reason,9.9,1.6,,0
2,Reduced access to diagnostic or medical screening test,Race/Hispanic origin,Hispanic,,Due to pandemic,5.2,1.1,,0
2,Reduced access to diagnostic or medical screening test,Sex,Male,2574,Total,,,,
2,Reduced access to diagnostic or medical screening test,Sex,Male,,For any reason,7.7,0.9,,0
2,Reduced access to diagnostic or medical screening test,Sex,Male,,Due to pandemic,3.7,0.6,,0
2,Reduced access to diagnostic or medical screening test,Sex,Female,3353,Total,,,,
2,Reduced access to diagnostic or medical screening test,Sex,Female,,For any reason,9,0.7,,1
2,Reduced access to diagnostic or medical screening test,Sex,Female,,Due to pandemic,5.3,0.6,,1
2,Reduced access to diagnostic or medical screening test,Education,High school graduate or less,1093,Total,,,,
2,Reduced access to diagnostic or medical screening test,Education,High school graduate or less,,For any reason,8.7,1.1,,0
2,Reduced access to diagnostic or medical screening test,Education,High school graduate or less,,Due to pandemic,3.3,0.7,,0
2,Reduced access to diagnostic or medical screening test,Education,Some college,2208,Total,,,,
2,Reduced access to diagnostic or medical screening test,Education,Some college,,For any reason,9.5,0.7,,0
2,Reduced access to diagnostic or medical screening test,Education,Some college,,Due to pandemic,6.1,0.6,,0
2,Reduced access to diagnostic or medical screening test,Education,Bachelor's degree or above,2626,Total,,,,
2,Reduced access to diagnostic or medical screening test,Education,Bachelor's degree or above,,For any reason,7,0.5,,1
2,Reduced access to diagnostic or medical screening test,Education,Bachelor's degree or above,,Due to pandemic,4.4,0.5,,1
2,Reduced access to diagnostic or medical screening test,Urbanization,Metropolitan,5272,Total,,,,
2,Reduced access to diagnostic or medical screening test,Urbanization,Metropolitan,,For any reason,8.4,0.6,,1
2,Reduced access to diagnostic or medical screening test,Urbanization,Metropolitan,,Due to pandemic,4.6,0.4,,1
2,Reduced access to diagnostic or medical screening test,Urbanization,Non-Metropolitan,655,Total,,,,
2,Reduced access to diagnostic or medical screening test,Urbanization,Non-Metropolitan,,For any reason,7.9,2.2,,0
2,Reduced access to diagnostic or medical screening test,Urbanization,Non-Metropolitan,,Due to pandemic,,,*,
2,Reduced access to diagnostic or medical screening test,Chronic conditions,One or more chronic conditions,3621,Total,,,,
2,Reduced access to diagnostic or medical screening test,Chronic conditions,One or more chronic conditions,,For any reason,10.6,0.8,,0
2,Reduced access to diagnostic or medical screening test,Chronic conditions,One or more chronic conditions,,Due to pandemic,6.2,0.6,,1
2,Reduced access to diagnostic or medical screening test,Chronic conditions,Diagnosed diabetes,685,Total,,,,
2,Reduced access to diagnostic or medical screening test,Chronic conditions,Diagnosed diabetes,,For any reason,15.8,2.6,,0
2,Reduced access to diagnostic or medical screening test,Chronic conditions,Diagnosed diabetes,,Due to pandemic,9.5,2.2,,0
2,Reduced access to diagnostic or medical screening test,Chronic conditions,Diagnosed hypertension,2169,Total,,,,
2,Reduced access to diagnostic or medical screening test,Chronic conditions,Diagnosed hypertension,,For any reason,10.7,1.1,,0
2,Reduced access to diagnostic or medical screening test,Chronic conditions,Diagnosed hypertension,,Due to pandemic,6,0.9,,1
2,Reduced access to diagnostic or medical screening test,Chronic conditions,Current asthma,615,Total,,,,
2,Reduced access to diagnostic or medical screening test,Chronic conditions,Current asthma,,For any reason,15.5,2.3,,0
2,Reduced access to diagnostic or medical screening test,Chronic conditions,Current asthma,,Due to pandemic,9.1,1.8,,0
1,Reduced access to treatment for ongoing condition,Total,Total,6730,Total,,,,
1,Reduced access to treatment for ongoing condition,Total,Total,,For any reason,10.5,0.5,,
1,Reduced access to treatment for ongoing condition,Total,Total,,Due to pandemic,6.2,0.4,,
1,Reduced access to treatment for ongoing condition,Age group,18-44 years,2596,Total,,,,
1,Reduced access to treatment for ongoing condition,Age group,18-44 years,,For any reason,8.9,0.8,,
1,Reduced access to treatment for ongoing condition,Age group,18-44 years,,Due to pandemic,5.4,0.6,,
1,Reduced access to treatment for ongoing condition,Age group,45-64 years,2352,Total,,,,
1,Reduced access to treatment for ongoing condition,Age group,45-64 years,,For any reason,12.2,0.8,,
1,Reduced access to treatment for ongoing condition,Age group,45-64 years,,Due to pandemic,7.1,0.7,,
1,Reduced access to treatment for ongoing condition,Age group,65 years and over,1782,Total,,,,
1,Reduced access to treatment for ongoing condition,Age group,65 years and over,,For any reason,11.2,0.9,,
1,Reduced access to treatment for ongoing condition,Age group,65 years and over,,Due to pandemic,6.4,0.6,,
1,Reduced access to treatment for ongoing condition,Race/Hispanic origin,White non-Hispanic,4466,Total,,,,
1,Reduced access to treatment for ongoing condition,Race/Hispanic origin,White non-Hispanic,,For any reason,9.9,0.7,,
1,Reduced access to treatment for ongoing condition,Race/Hispanic origin,White non-Hispanic,,Due to pandemic,6,0.5,,
1,Reduced access to treatment for ongoing condition,Race/Hispanic origin,Black non-Hispanic,804,Total,,,,
1,Reduced access to treatment for ongoing condition,Race/Hispanic origin,Black non-Hispanic,,For any reason,12.6,1.7,,
1,Reduced access to treatment for ongoing condition,Race/Hispanic origin,Black non-Hispanic,,Due to pandemic,5.5,0.9,,
1,Reduced access to treatment for ongoing condition,Race/Hispanic origin,Other non-Hispanic,526,Total,,,,
1,Reduced access to treatment for ongoing condition,Race/Hispanic origin,Other non-Hispanic,,For any reason,8.6,1.2,,
1,Reduced access to treatment for ongoing condition,Race/Hispanic origin,Other non-Hispanic,,Due to pandemic,5.3,1.1,,
1,Reduced access to treatment for ongoing condition,Race/Hispanic origin,Hispanic,934,Total,,,,
1,Reduced access to treatment for ongoing condition,Race/Hispanic origin,Hispanic,,For any reason,11.8,1.3,,
1,Reduced access to treatment for ongoing condition,Race/Hispanic origin,Hispanic,,Due to pandemic,7.9,1.3,,
1,Reduced access to treatment for ongoing condition,Sex,Male,2945,Total,,,,
1,Reduced access to treatment for ongoing condition,Sex,Male,,For any reason,9.3,0.7,,
1,Reduced access to treatment for ongoing condition,Sex,Male,,Due to pandemic,4.9,0.4,,
1,Reduced access to treatment for ongoing condition,Sex,Female,3785,Total,,,,
1,Reduced access to treatment for ongoing condition,Sex,Female,,For any reason,11.5,0.7,,
1,Reduced access to treatment for ongoing condition,Sex,Female,,Due to pandemic,7.4,0.6,,
1,Reduced access to treatment for ongoing condition,Education,High school graduate or less,1285,Total,,,,
1,Reduced access to treatment for ongoing condition,Education,High school graduate or less,,For any reason,11,0.9,,
1,Reduced access to treatment for ongoing condition,Education,High school graduate or less,,Due to pandemic,5.7,0.7,,
1,Reduced access to treatment for ongoing condition,Education,Some college,2527,Total,,,,
1,Reduced access to treatment for ongoing condition,Education,Some college,,For any reason,11.4,0.9,,
1,Reduced access to treatment for ongoing condition,Education,Some college,,Due to pandemic,7,0.6,,
1,Reduced access to treatment for ongoing condition,Education,Bachelor's degree or above,2918,Total,,,,
1,Reduced access to treatment for ongoing condition,Education,Bachelor's degree or above,,For any reason,9,0.6,,
1,Reduced access to treatment for ongoing condition,Education,Bachelor's degree or above,,Due to pandemic,6.1,0.4,,
1,Reduced access to treatment for ongoing condition,Urbanization,Metropolitan,6004,Total,,,,
1,Reduced access to treatment for ongoing condition,Urbanization,Metropolitan,,For any reason,10.1,0.5,,
1,Reduced access to treatment for ongoing condition,Urbanization,Metropolitan,,Due to pandemic,5.9,0.4,,
1,Reduced access to treatment for ongoing condition,Urbanization,Non-Metropolitan,726,Total,,,,
1,Reduced access to treatment for ongoing condition,Urbanization,Non-Metropolitan,,For any reason,13,1.8,,
1,Reduced access to treatment for ongoing condition,Urbanization,Non-Metropolitan,,Due to pandemic,8.5,1.4,,
1,Reduced access to treatment for ongoing condition,Chronic conditions,One or more chronic conditions,4042,Total,,,,
1,Reduced access to treatment for ongoing condition,Chronic conditions,One or more chronic conditions,,For any reason,14.4,0.7,,
1,Reduced access to treatment for ongoing condition,Chronic conditions,One or more chronic conditions,,Due to pandemic,8.3,0.5,,
1,Reduced access to treatment for ongoing condition,Chronic conditions,Diagnosed diabetes,764,Total,,,,
1,Reduced access to treatment for ongoing condition,Chronic conditions,Diagnosed diabetes,,For any reason,18,1.4,,
1,Reduced access to treatment for ongoing condition,Chronic conditions,Diagnosed diabetes,,Due to pandemic,8.6,1.4,,
1,Reduced access to treatment for ongoing condition,Chronic conditions,Diagnosed hypertension,2399,Total,,,,
1,Reduced access to treatment for ongoing condition,Chronic conditions,Diagnosed hypertension,,For any reason,15.4,1,,
1,Reduced access to treatment for ongoing condition,Chronic conditions,Diagnosed hypertension,,Due to pandemic,9,0.8,,
1,Reduced access to treatment for ongoing condition,Chronic conditions,Current asthma,693,Total,,,,
1,Reduced access to treatment for ongoing condition,Chronic conditions,Current asthma,,For any reason,19.4,1.7,,
1,Reduced access to treatment for ongoing condition,Chronic conditions,Current asthma,,Due to pandemic,11.8,1.6,,
2,Reduced access to treatment for ongoing condition,Total,Total,5928,Total,,,,
2,Reduced access to treatment for ongoing condition,Total,Total,,For any reason,8.6,0.5,,1
2,Reduced access to treatment for ongoing condition,Total,Total,,Due to pandemic,4.4,0.3,,1
